0#-0.719,-0.486,nan#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
1#-0.718,-0.484,112.054#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
2#-0.717,-0.485,21.921#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
3#-0.712,-0.483,151.563#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
4#-0.711,-0.483,65.733#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
5#-0.715,-0.481,133.643#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
6#-0.717,-0.478,296.674#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
7#-0.718,-0.477,326.711#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
8#-0.72,-0.476,344.563#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
9#-0.72,-0.475,286.68#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
10#-0.719,-0.471,6.193#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
11#-0.719,-0.467,5.626#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
12#-0.721,-0.463,9.362#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
13#-0.72,-0.461,334.981#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
14#-0.719,-0.464,33.384#-2.429,-1.524;-1.492,0.244;-1.283,-0.134;#1.692,-0.84;1.57,-0.632;0.49,1.761;0.893,1.501;0.14,0.751;2.387,0.624;-0.436,0.296;2.419,-0.35;2.225,-0.122;-1.29,-0.823;-0.495,0.194;1.842,-1.078;#-2.438,-1.829;-2.591,-1.219;-2.591,-0.61;-2.591,-0.0;-2.286,0.61;-2.134,1.219;-1.829,1.524;-1.524,1.829;-0.914,1.981;-0.305,1.981;-0.0,1.676;-0.0,1.067;-0.305,0.61;-0.457,0.152;-0.457,-0.457;-0.457,-1.067;-0.457,-1.676;-0.152,-1.829;0.457,-1.981;1.067,-1.981;1.524,-1.676;1.829,-1.372;1.981,-0.762;1.981,-0.152;1.981,0.457;2.134,1.067;2.286,1.524;#-2.438,-1.829
