arguments: 36 22 4 0.273068 -0.363409 0.318068 -0.0454545
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.65, -0.05, -0.05, 0.69, -0.05, 0.02, 0.09, 0.79, -0.05, -0.05, -0.05, 0.75, -0.05, -0.05, 0.78, -0.05, 0.81, -0.05, -0.05, 0.85, -0.05, -0.05, 
-0.05, 0.02, 0.09, 0.69, -0.05, -0.05, -0.05, -0.05, -0.05, -0.06, -0.14, 0.07, 0.23, 0.09, 0.02, 0.09, 0.02, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 
-0.05, 0.09, 0.23, 0.09, -0.05, -0.05, -0.05, -0.05, -0.05, -0.14, -0.41, -0.07, 0.09, 0.02, 0.02, 0.09, 0.02, -0.05, -0.05, -0.05, -0.06, -0.14, -0.06, -0.05, -0.06, -0.14, -0.06, -0.05, 
-0.05, 0.66, 0.09, 0.02, -0.05, -0.05, -0.05, -0.05, -0.05, 0.00, 0.00, 0.00, -0.05, -0.05, 0.09, 0.23, 0.09, -0.05, -0.05, -0.05, -0.14, -0.41, -0.14, -0.05, -0.07, -0.27, -0.07, -0.05, 
-0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.07, 0.14, 0.07, -0.06, -0.14, 0.00, 0.09, 0.02, -0.05, -0.05, -0.05, -0.06, -0.14, -0.06, -0.14, 0.07, 0.14, 0.07, -0.05, 
-0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.02, 0.09, 0.02, 0.00, -0.34, -0.14, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.14, -0.41, -0.07, 0.09, 0.02, -0.05, 
0.56, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.09, 0.65, 0.00, -0.06, 0.37, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.06, -0.07, 0.07, 0.02, -0.05, -0.05, 
-0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.43, -0.05, -0.05, 0.02, 0.09, 0.02, -0.05, -0.05, -0.05, 0.34, -0.05, -0.05, -0.05, -0.05, -0.05, 0.09, 0.23, 0.09, -0.05, -0.05, 
-0.05, -0.05, -0.05, -0.05, -0.05, -0.06, -0.14, -0.06, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.02, 0.09, 0.02, -0.05, -0.05, 
0.53, -0.05, -0.05, 0.50, -0.05, -0.14, 0.10, -0.14, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.06, -0.14, -0.06, -0.05, -0.05, -0.05, 0.30, -0.05, -0.05, 0.27, -0.05, -0.05, -0.05, -0.05, 
-0.05, -0.05, -0.05, -0.05, -0.05, -0.06, -0.14, -0.06, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.14, -0.41, -0.14, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 
